Date;Time;Operation;S101;D101;S110;D110;S111;D111;S102;D102;S115;D115;S103;D103;S104;D104;S112;D112;S105;D105;S200;D200;S201;D201;S300;D300;S108;D108;S109;D109;S600;D600;S601;D601;S605;D605;S701;D701;S702;D702;S703;D703;S704;D704;S705;D705;S706;D706;S711;D711;S712;D712;S713;D713;S714;D714;S715;D715;S716;D716;S720;D720;S800;D800;S801;D801;S900;D900;S1300;D1300;S1600;D1600;S1601;D1601;S1602;D1602;S1603;D1603;S1604;D1604;S1605;D1605;S1626;D1626;S1627;D1627;S1003;D1003;S1200;D1200;S50;D50;S51;D51;S52;D52;S60;D60;S1001;D1001;S113;D113;S114;D114;S106;D106;S107;D107;S202;D202;S721;D721;S722;D722;S220;D220;S30;D30;S1006;D1006;S1007;D1007;S1651;D1651;S1652;D1652;S1653;D1653;S1654;D1654;S1655;D1655;S1657;D1657;S1658;D1658;S1301;D1301;S116;D116;S119;D119;S302;D302;S117;D117;S7000;D7000;S400;D400;S401;D401;S402;D402;S403;D403;S404;D404;S1202;D1202;S1203;D1203;S100;D100
26.03.2016;60739613;;516.6085205;O;499.5404053;O;17;O;8.195819855;O;508.4127007;O;10.2267189;O;-0.169956169;O;0;O;-1.287282467;O;36.47515869;O;;E;0.683649459;O;486.6035213;O;29.0255325;O;-2.424327197;O;;E;1.070895599;O;1.5135;O;0.8085;O;0.804;O;0.78475;O;1.22375;O;;E;33.297;O;17.787;O;17.688;O;10.0448;O;12.2375;O;;E;91.0543;O;18.34988022;O;;E;17.21645274;O;1.024714087;O;;E;;E;;E;;E;;E;;E;;E;;E;0;O;0;O;0;O;0;O;;E;;E;0;O;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;-1.711930967;O;;E;0;O;0;O;;E;;E;81.16573288;O;65.94324621;O;11.88844819;O;3.334038479;O;69.27728469;O;0;O;0;O;5;O
26.03.2016;60740605;;516.6085205;O;499.5404053;O;17;O;8.313202858;O;508.2953176;O;10.34406185;O;-0.177214059;O;0;O;-1.287331104;O;36.54229736;O;;E;0.691072425;O;486.6035213;O;29.0255325;O;-2.424327197;O;;E;1.118159564;O;1.513499997;O;0.808499995;O;0.804;O;0.784750008;O;1.22375;O;;E;33.29699993;O;17.78699989;O;17.688;O;10.0448001;O;12.2375;O;;E;91.05429992;O;18.34988022;O;;E;17.21446908;O;1.216171753;O;;E;;E;;E;;E;;E;;E;;E;;E;0;O;0;O;0;O;0;O;;E;;E;0;O;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;-1.711930967;O;;E;0;O;0;O;;E;;E;81.16573288;O;65.94324621;O;11.88844819;O;3.334038479;O;69.27728469;O;0;O;0;O;5;O
26.03.2016;60741593;;516.6085205;O;499.5404053;O;17;O;8.430585861;O;508.1779346;O;10.46144485;O;-0.17464227;O;0;O;-1.287333131;O;36.76464844;O;;E;0.699580585;O;486.6035213;O;29.0255325;O;-2.424327196;O;;E;1.118162027;O;1.513499954;O;0.808499918;O;0.804000013;O;0.78475007;O;1.22375;O;;E;33.29699899;O;17.78699819;O;17.68800029;O;10.04480089;O;12.2375;O;;E;91.05429836;O;18.34988022;O;;E;17.21248541;O;1.47840175;O;;E;;E;;E;;E;;E;;E;;E;;E;0;O;0;O;0;O;0;O;;E;;E;0;O;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;-1.711930967;O;;E;0;O;0;O;;E;;E;81.16573288;O;65.94324621;O;11.88844819;O;3.334038479;O;69.27728469;O;0;O;0;O;5;O
26.03.2016;60742613;;516.6085205;O;499.5404053;O;17;O;8.547968864;O;508.0605516;O;10.57882786;O;-0.164235294;O;0;O;-1.287340999;O;36.59677124;O;;E;0.701742884;O;486.6035213;O;29.0255325;O;-2.424327047;O;;E;1.118168432;O;1.513499793;O;0.808499618;O;0.804000137;O;0.784750262;O;1.22375;O;;E;33.29699544;O;17.7869916;O;17.68800302;O;10.04480335;O;12.2375;O;;E;91.05429342;O;18.34988022;O;;E;17.21050175;O;1.374375564;O;;E;;E;;E;;E;;E;;E;;E;;E;0;O;0;O;0;O;0;O;;E;;E;0;O;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;-1.711930967;O;;E;0;O;0;O;;E;;E;81.16573288;O;65.94324621;O;11.88844819;O;3.334038479;O;69.27728469;O;0;O;0;O;5;O
26.03.2016;60743605;;516.6085205;O;499.5404053;O;17;O;8.673710823;O;507.9348097;O;10.70456982;O;-0.161780243;O;0;O;-1.287399054;O;36.19122314;O;;E;0.703390636;O;486.6035213;O;29.0255325;O;-2.42432664;O;;E;1.1181798;O;1.513499438;O;0.808499031;O;0.804000602;O;0.784750546;O;1.223750046;O;;E;33.29698763;O;17.78697869;O;17.68801323;O;10.04480699;O;12.23750046;O;;E;91.05428699;O;18.35017695;O;;E;17.20851809;O;0.911417728;O;;E;;E;;E;;E;;E;;E;;E;;E;0;O;0;O;0;O;0;O;;E;;E;0;O;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;-1.711930967;O;;E;0;O;0;O;;E;;E;81.16573288;O;65.94324621;O;11.88844819;O;3.334038479;O;69.27728469;O;0;O;0;O;5;O
26.03.2016;60744593;;516.6085205;O;499.5404053;O;17;O;8.791093826;O;507.8174267;O;10.82195282;O;-0.1632336;O;0;O;-1.28740418;O;36.41983032;O;;E;0.704612901;O;486.6035213;O;29.0255325;O;-2.424342105;O;;E;1.118195927;O;1.513498827;O;0.80849822;O;0.804001682;O;0.784750801;O;1.223750846;O;;E;33.29697419;O;17.78696084;O;17.68803701;O;10.04481025;O;12.23750846;O;;E;91.05429076;O;18.35238658;O;;E;17.20653442;O;1.121861018;O;;E;;E;;E;;E;;E;;E;;E;;E;0;O;0;O;0;O;0;O;;E;;E;0;O;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;-1.680154703;O;;E;0;O;0;O;;E;;E;81.16573288;O;65.94324621;O;11.88844819;O;3.334038479;O;69.27728469;O;0;O;0;O;5;O
26.03.2016;60745625;;516.6085205;O;499.5404053;O;17;O;8.908437729;O;507.7000828;O;10.93933582;O;-0.154956674;O;0;O;-1.287371278;O;37.28164673;O;;E;0.707411876;O;486.6035213;O;29.0255325;O;-2.424418238;O;;E;1.118215422;O;1.513497908;O;0.808497124;O;0.804003638;O;0.784751053;O;1.223753479;O;;E;33.29695397;O;17.78693674;O;17.68808004;O;10.04481347;O;12.23753479;O;;E;91.05431902;O;18.35318712;O;;E;17.20653442;O;1.067624833;O;;E;;E;;E;;E;;E;;E;;E;;E;0;O;0;O;0;O;0;O;;E;;E;0;O;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;-1.680154703;O;;E;0;O;0;O;;E;;E;81.16573288;O;65.94324621;O;11.88844819;O;3.334038479;O;69.27728469;O;0;O;0;O;5;O
26.03.2016;60746605;;516.6085205;O;499.5404053;O;17;O;9.025819778;O;507.5827007;O;11.05667973;O;-0.151275983;O;0;O;-1.287357211;O;37.75543213;O;;E;0.708695265;O;486.6035213;O;29.0255325;O;-2.424594187;O;;E;1.118237348;O;1.513496641;O;0.808495368;O;0.804006749;O;0.784751549;O;1.223758419;O;;E;33.29692611;O;17.7868981;O;17.68814849;O;10.04481983;O;12.23758419;O;;E;91.05437671;O;18.35326607;O;;E;17.20653442;O;0.482630435;O;;E;;E;;E;;E;;E;;E;;E;;E;0;O;0;O;0;O;0;O;;E;;E;0;O;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;-1.680154703;O;;E;0;O;0;O;;E;;E;81.16573288;O;65.94324621;O;11.88844819;O;3.334038479;O;69.27728469;O;0;O;0;O;5;O
26.03.2016;60747593;;516.6085205;O;499.5404053;O;17;O;9.151601791;O;507.4569187;O;11.18246078;O;-0.155448848;O;0;O;-1.287380219;O;36.78695679;O;;E;0.709059132;O;486.6035213;O;29.0255325;O;-2.424897116;O;;E;1.11826065;O;1.513494999;O;0.808492473;O;0.804011231;O;0.784752595;O;1.223765688;O;;E;33.29688998;O;17.78683441;O;17.68824708;O;10.04483321;O;12.23765688;O;;E;91.05446157;O;18.35335598;O;;E;17.20653442;O;0.455369056;O;;E;;E;;E;;E;;E;;E;;E;;E;0;O;0;O;0;O;0;O;;E;;E;0;O;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;-1.680154703;O;;E;0;O;0;O;;E;;E;81.16573288;O;65.94324621;O;11.88844819;O;3.334038479;O;69.27728469;O;0;O;0;O;5;O
26.03.2016;60748613;;516.6085205;O;499.5404053;O;17;O;9.26894474;O;507.3395758;O;11.29984379;O;-0.15888176;O;0;O;-1.287358761;O;36.30627441;O;;E;0.710891974;O;486.6035213;O;29.0255325;O;-2.425351083;O;;E;1.1182836;O;1.513492934;O;0.808488189;O;0.804017105;O;0.784754358;O;1.223775043;O;;E;33.29684456;O;17.78674016;O;17.6883763;O;10.04485578;O;12.23775043;O;;E;91.05456723;O;18.35537247;O;;E;17.20653442;O;0.511331933;O;;E;;E;;E;;E;;E;;E;;E;;E;0;O;0;O;0;O;0;O;;E;;E;0;O;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;;E;-1.680154703;O;;E;0;O;0;O;;E;;E;81.16573288;O;65.94324621;O;11.88844819;O;3.334038479;O;69.27728469;O;0;O;0;O;5;O
